"Name","2018 Population","Growth Since 2010"
"Los Angeles County",10163507,3.4507338294405088
"San Diego County",3337685,7.535682953083537
"Orange County",3190400,5.7433655185945724
"Riverside County",2423266,10.048360559327634
"San Bernardino County",2157404,5.6911652461207325
"Santa Clara County",1938153,8.48628243836417
"Alameda County",1663190,9.897436371829826
"Sacramento County",1530615,7.664609668617686
"Contra Costa County",1147439,8.98937024066322
"Fresno County",989255,6.118418653147657
"Kern County",893119,6.182619282001525
"San Francisco County",884363,9.753775891383398
"Ventura County",854223,3.5047946317572496
"San Mateo County",771410,7.155309286441565
"San Joaquin County",745424,8.458280408153172
"Stanislaus County",547899,6.338186716145032
"Sonoma County",504217,3.9993647218492328
"Tulare County",464493,4.837493793165706
"Santa Barbara County",448150,5.61156436614209
"Solano County",445458,7.578801959060655
"Monterey County",437907,5.1460471817035796
"Placer County",386166,10.32242582149162
"San Luis Obispo County",283405,5.035227319054627
"Santa Cruz County",275897,4.817716248252381
"Merced County",272673,6.1926534045768165
"Marin County",260955,3.168735668537991
"Butte County",229294,4.244920598116906
"Yolo County",219116,8.958185190526152
"El Dorado County",188987,4.326824878967045
"Imperial County",182830,4.606987149412404
"Shasta County",179921,1.487443875363823
"Madera County",156890,3.875209385779641
"Kings County",150101,-1.5111151938269387
"Napa County",140973,3.0549585508136374
"Humboldt County",136754,1.2850043327235454
"Nevada County",99814,1.0355194299075805
"Sutter County",96648,1.9880967455995915
"Mendocino County",88018,0.24943336484470535
"Yuba County",77031,6.4684662271426845
"Lake County",64246,-0.76611782150691
"Tehama County",63926,0.5710869531016414
"San Benito County",60310,8.604048116401358
"Tuolumne County",54248,-1.7032688265564957
"Calaveras County",45670,0.4398504508467056
"Siskiyou County",43853,-2.4166091813346924
"Amador County",38626,1.958610495195856
"Lassen County",31163,-10.53084895638942
"Glenn County",28094,-0.12797724848915948
"Del Norte County",27470,-3.836728978505917
"Colusa County",21805,1.640796159045351
"Plumas County",18742,-5.885306819323091
"Inyo County",18026,-2.651617432629479
"Mariposa County",17569,-3.8894967177242847
"Mono County",14168,-0.2534497324697327
"Trinity County",12709,-7.564186486289913
"Modoc County",8859,-8.66068666872873
"Sierra County",2999,-6.892269481527478
"Alpine County",1120,-3.531438415159343